,moblie_name,price,battery
0,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹10,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
1,"realme 9 5G (Stargaze White, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,499</div>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
2,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
3,"Infinix Smart 6 (Light Sea Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹7,299</div>","<li class=""rgWa7D"">5000 mAh Li-ion Polymer Battery</li>"
4,"REDMI Note 10S (Deep Sea Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
5,"REDMI Note 10S (Cosmic Purple, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
6,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹10,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
7,"Infinix Note 12 TURBO (Jewel Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹14,999</div>","<li class=""rgWa7D"">5000 mAh Li-ion Polymer Battery</li>"
8,"REDMI Note 10S (Frost White, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
9,"REDMI Note 10S (Shadow Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
10,"realme 9 5G (Meteor Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
11,"Infinix Zero 5G (Skylight Orange, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,999</div>","<li class=""rgWa7D"">5000 mAh Li-ion Polymer Battery</li>"
12,"POCO C31 (Royal Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,499</div>","<li class=""rgWa7D"">5000 mAh Lithium-ion Polymer Battery</li>"
13,"realme 9 5G (Stargaze White, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
14,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
15,"I Kall Z1 Pro (Grey, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹4,999</div>","<li class=""rgWa7D"">3000 mAh Battery</li>"
16,"POCO C31 (Shadow Gray, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,499</div>","<li class=""rgWa7D"">5000 mAh Lithium-ion Polymer Battery</li>"
17,"REDMI 10 (Pacific Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">6000 mAh Lithium Polymer Battery</li>"
18,"REDMI 9i Sport (Metallic Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,799</div>","<li class=""rgWa7D"">5000 mAh Li-Polymer Battery</li>"
19,"I Kall Z8 (Blue, 16 GB)","<div class=""_30jeq3 _1_WHN1"">₹4,699</div>","<li class=""rgWa7D"">2800 mAh Battery</li>"
20,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
21,"realme 9 5G (Meteor Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,499</div>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
22,"REDMI 10 (Midnight Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">6000 mAh Lithium Polymer Battery</li>"
23,"I Kall Z10 (SKY BLUE, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹7,999</div>","<li class=""rgWa7D"">5000 mAh Battery</li>"
